id|name|url|sourcecode_url|description
zvcuq32e0fyddf7|deepnotes|https://deepnotes.app/||visual note-taking tool with deep page navigation
ceidrzztkpmlak7|mathesar|https://mathesar.org/||web-based interface that works on top of your database
ezupplxa16wg42r|lago|https://www.getlago.com/||metering and usage-based billing
msmo331ul72tvrc|grist|https://www.getgrist.com/||Combine the flexibility of a spreadsheet with the robustness of a database
66i7xxv6g4h7sco|Alist|https://alist.nn.ci/||A file list program that supports multiple storage
qow6vle29t3h9ah|CloudQuery|https://www.cloudquery.io/||data integration platform
2ey9mhxazfnfoll|listmonk|https://listmonk.app/||newsletter and mailing list manager
tjbbj18co1ib8xq|activepieces|https://www.activepieces.com/||No code Business Automation
2kti32yr3pfa10p|AppFlowy|https://appflowy.io/||open-source alternative to Notion
ne8tm8pzcvom7ms|Twake|https://twake.app/||Open-source alternative to Microsoft Teams
ieqyoglxvurygb7|HedgeDoc|https://hedgedoc.org/||write and share markdown
5xq4xdpzs3uegl8|Chirpy|https://chirpy.dev/||disqus alternative
v32o5hv60kh41cr|ontrack|https://github.com/inoda/ontrack||private budgeting tool
ht5mhnuxa0rdbqo|cal.com|https://cal.com/||scheduling infrastructure
bhbf9y53p44c9j1|memos|https://usememos.com/|https://github.com/usememos/memos| memo hub with knowledge management and social networking
bznqc9cqlwxy68y|Readarr|https://github.com/Readarr/Readarr||Book Manager and Automation
dsvb4fgsbo7pmvr|vikunja|https://vikunja.io/||The Todo-app to organize your life.
9j9v1tge2fu4k92|answer.dev|https://answer.dev/||knowledge-based community
4n15jmrcl2pb7nc|Lotus|https://www.uselotus.io/||pricing and billing engine
2blh2272jzaita6|Linen|https://www.linen.dev/||Slack alternative
9by2nxt55jzcvrv|killbill|https://killbill.io/||billing and payments platform
